Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status,Year
2,41,Tyshawn Taylor,PG,United States,Portland Trail Blazers,Kansas,Yes,College Senior,2012
2,42,Doron Lamb,SG,United States,Milwaukee Bucks,Kentucky,No,College Sophmore,2012
2,43,Mike Scott,PF,United States,Atlanta Hawks,Virginia,Yes,College Senior,2012
2,44,Kim English,SG,United States,Detroit Pistons,Missouri,Yes,College Senior,2012
2,45,Justin Hamilton,C,United States,Philadelphia 76ers,LSU,Yes,College Junior,2012
2,46,Darius Miller,SF,United States,New Orleans Hornets,Kentucky,Yes,College Senior,2012
2,47,Kevin Murphy,SG,United States,Utah Jazz,Tennessee Tech,No,College Senior,2012
2,48,Kostas Papanikolaou,SF,Greece,New York Knicks,Olympiacos (Greece),No,Playing Internationally,2012
2,49,Kyle O'Quinn,PF,United States,Orlando Magic,Norfolk St.,No,College Senior,2012
2,50,İzzet Türkyılmaz,PF,Turkey,Denver Nuggets,Banvit (Turkey),No,Playing Internationally,2012
2,51,Kris Joseph,SF,Canada,Boston Celtics,Syracuse,No,College Senior,2012
2,52,Ognjen Kuzmić,C,Serbia,Golden State Warriors,Clinicas Rincón (Spain),Yes,Playing Internationally,2012
2,53,Furkan Aldemir,PF,Turkey,Los Angeles Clippers,Galatasaray (Turkey),No,Playing Internationally,2012
2,54,Tornike Shengelia,SF,Georgia,Philadelphia 76ers,Spirou Charleroi (Belgium),Yes,Playing Internationally,2012
2,55,Darius Johnson-Odom,SG,United States,Dallas Mavericks,Marquette,Yes,College Senior,2012
2,56,Tomislav Zubčić,PF,Croatia,Toronto Raptors,Cibona Zagreb (Croatia),Yes,Playing Internationally,2012
2,57,İlkan Karaman,PF,Turkey,Brooklyn Nets,Pınar Karşıyaka (Turkey),Yes,Playing Internationally,2012
2,58,Robbie Hummel,SF,United States,Minnesota Timberwolves,Purdue,Yes,College Senior,2012
2,59,Marcus Denmon,PG,United States,San Antonio Spurs,Missouri,No,College Senior,2012
2,60,Robert Sacre,C,Canada,Los Angeles Lakers,Gonzaga,Yes,College Senior,2012
1,1,Anthony Bennett,PF/SF,Canada,Cleveland Cavaliers,UNLV,No,College Freshman,2013
1,2,Victor Oladipo,SG/PG,United States,Orlando Magic,Indiana,No,College Junior,2013
1,3,Otto Porter Jr.,SF,United States,Washington Wizards,Georgetown,No,College Sophmore,2013
1,4,Cody Zeller,C/PF,United States,Charlotte Bobcats,Indiana,No,College Sophmore,2013
1,5,Alex Len,C,Ukraine,Phoenix Suns,Maryland,No,College Sophmore,2013
1,6,Nerlens Noel,C,United States,New Orleans Pelicans,Kentucky,Yes,College Freshman,2013
1,7,Ben McLemore,SG,United States,Sacramento Kings,Kansas,No,College Freshman,2013
1,8,Kentavious Caldwell-Pope,SG,United States,Detroit Pistons,Georgia,No,College Sophmore,2013
1,9,Trey Burke,PG,United States,Minnesota Timberwolves,Michigan,Yes,College Sophmore,2013
1,10,CJ McCollum,SG,United States,Portland Trail Blazers,Lehigh,No,College Senior,2013
1,11,Michael Carter-Williams,PG,United States,Philadelphia 76ers,Syracuse,No,College Sophmore,2013
1,12,Steven Adams,C,New Zealand,Oklahoma City Thunder,Pittsburgh,Yes,College Freshman,2013
1,13,Kelly Olynyk,C,Canada,Dallas Mavericks,Gonzaga,Yes,College Junior,2013
1,14,Shabazz Muhammad,SG/SF,United States,Utah Jazz,UCLA,Yes,College Freshman,2013
1,15,Giannis Antetokounmpo,PF,Greece,Milwaukee Bucks,Filathlitikos (Greece),No,Playing Internationally,2013
1,16,Lucas Nogueira,C,Brazil,Boston Celtics,Estudiantes (Spain),Yes,Playing Internationally,2013
1,17,Dennis Schröder,PG,Germany,Atlanta Hawks,Phantoms Braunschweig (Germany),No,Playing Internationally,2013
1,18,Shane Larkin,PG,United States,Atlanta Hawks,Miami,Yes,College Sophmore,2013
1,19,Sergey Karasev,SG/SF,Russia,Cleveland Cavaliers,Triumph Lyubertsy (Russia),Yes,Playing Internationally,2013
1,20,Tony Snell,SF,United States,Chicago Bulls,New Mexico,No,College Junior,2013
1,21,Gorgui Dieng,C,Senegal,Utah Jazz,Louisville,Yes,College Junior,2013
1,22,Mason Plumlee,C,United States,Brooklyn Nets,Duke,No,College Senior,2013
1,23,Solomon Hill,SF,United States,Indiana Pacers,Arizona,No,College Senior,2013
1,24,Tim Hardaway Jr.,SG,United States,New York Knicks,Michigan,No,College Junior,2013
1,25,Reggie Bullock,SF,United States,Los Angeles Clippers,North Carolina,No,College Junior,2013
1,26,André Roberson,SG/SF,United States,Minnesota Timberwolves,Colorado,Yes,College Junior,2013
1,27,Rudy Gobert,C,France,Denver Nuggets,Cholet Basket,Yes,College Freshman,2013
1,28,Livio Jean-Charles,SF,France,San Antonio Spurs,ASVEL Basket,No,College Freshman,2013
1,29,Archie Goodwin,SG,United States,Oklahoma City Thunder,Kentucky,Yes,College Freshman,2013
1,30,Nemanja Nedović,PG,Serbia,Phoenix Suns,Lietuvos Rytas (Lithuania),Yes,Playing Internationally,2013
2,31,Allen Crabbe,SG,United States,Cleveland Cavaliers,California,Yes,College Junior,2013
2,32,Álex Abrines,SG/SF,Spain,Oklahoma City Thunder,FC Barcelona (Spain),Yes,Playing Internationally,2013
2,33,Carrick Felix,SG,United States,Cleveland Cavaliers,Arizona State,No,College Senior,2013
2,34,Isaiah Canaan,PG,United States,Houston Rockets,Murray State,Yes,College Senior,2013
2,35,Glen Rice Jr.,SG,United States,Philadelphia 76ers,Rio Grande Valley Vipers (NBA D-League),Yes,Playing Internationally,2013
2,36,Ray McCallum Jr.,PG,United States,Sacramento Kings,Detroit,No,College Junior,2013
2,37,Tony Mitchell,PF,United States,Detroit Pistons,North Texas,No,College Sophmore,2013
2,38,Nate Wolters,PG,United States,Washington Wizards,South Dakota State,Yes,College Sophmore,2013
2,39,Jeff Withey,C,United States,Portland Trail Blazers,Kansas,Yes,College Senior,2013
2,40,Grant Jerrett,PF,United States,Portland Trail Blazers,Arizona,Yes,College Freshman,2013
2,41,Jamaal Franklin,SG,United States,Memphis Grizzlies,San Diego State,Yes,College Junior,2013
2,42,Pierre Jackson,PG,United States,Philadelphia 76ers,Baylor,Yes,College Senior,2013
2,43,Ricky Ledo,SG,United States,Milwaukee Bucks,Providence,Yes,College Freshman,2013
2,44,Mike Muscala,C,United States,Dallas Mavericks,Bucknell,Yes,College Senior,2013
