round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status,Draft year
2,45,Bobby Phills,SG,United States,Milwaukee Bucks,Southern,No,College Sophmore,1991
2,46,Richard Dumas,F,United States,Phoenix Suns,Hapoel Holon (Israel),Yes,Playing Internationally,1991
2,47,Keith Hughes,PF,United States,Houston Rockets,Rutgers,No,College Senior,1991
2,48,Isaac Austin,C,United States,Utah Jazz,Arizona State,No,College Senior,1991
2,49,Greg Sutton,G,United States,San Antonio Spurs,Oral Roberts,No,College Senior,1991
2,50,Joey Wright,SG,United States,Phoenix Suns,Texas,No,College Senior,1991
2,51,Žan Tabak,C,Croatia,Houston Rockets,KK Split (Croatia),Yes,Playing Internationally,1991
2,52,Anthony Jones,SF,United States,Los Angeles Lakers,Oral Roberts,No,College Senior,1991
2,53,Von McDade,SG,United States,New Jersey Nets,Milwaukee,Yes,College Senior,1991
2,54,Marcus Kennedy,PF,United States,Portland Trail Blazers,Eastern Michigan,No,College Senior,1991
1,1,Shaquille O'Neal^,C,United States,Orlando Magic,LSU,No,College Junior,1992
1,2,Alonzo Mourning^,C,United States,Charlotte Hornets,Georgetown,No,College Senior,1992
1,3,Christian Laettner,PF,United States,Minnesota Timberwolves,Duke,No,College Senior,1992
1,4,Jimmy Jackson,SG,United States,Dallas Mavericks,Ohio State,No,College Junior,1992
1,5,LaPhonso Ellis,PF,United States,Denver Nuggets,Notre Dame,No,College Senior,1992
1,6,Tom Gugliotta,PF,United States,Washington Bullets,NC State,No,College Senior,1992
1,7,Walt Williams,SF,United States,Sacramento Kings,Maryland,No,College Senior,1992
1,8,Todd Day,SG,United States,Milwaukee Bucks,Arkansas,No,College Senior,1992
1,9,Clarence Weatherspoon,PF,United States,Philadelphia 76ers,Southern Miss,No,College Sophmore,1992
1,10,Adam Keefe,PF,United States,Atlanta Hawks,Stanford,No,College Senior,1992
1,11,Robert Horry,SF,United States,Houston Rockets,Alabama,No,College Senior,1992
1,12,Harold Miner,SG,United States,Miami Heat,USC,No,College Junior,1992
1,13,Bryant Stith,SG,United States,Denver Nuggets,Virginia,Yes,College Senior,1992
1,14,Malik Sealy,SF,United States,Indiana Pacers,St. John's,No,College Senior,1992
1,15,Anthony Peeler,SG,United States,Los Angeles Lakers,Missouri,No,College Senior,1992
1,16,Randy Woods,PG,United States,Los Angeles Clippers,La Salle,No,College Senior,1992
1,17,Doug Christie,SG,United States,Seattle SuperSonics,Pepperdine,No,College Senior,1992
1,18,Tracy Murray,SF,United States,San Antonio Spurs,UCLA,No,College Junior,1992
1,19,Don MacLean,PF,United States,Detroit Pistons,UCLA,Yes,College Senior,1992
1,20,Hubert Davis,SG,United States,New York Knicks,North Carolina,No,College Senior,1992
1,21,Jon Barry,SG,United States,Boston Celtics,Georgia Tech,No,College Senior,1992
1,22,Oliver Miller,C,United States,Phoenix Suns,Arkansas,No,College Senior,1992
1,23,Lee Mayberry,PG,United States,Milwaukee Bucks,Arkansas,Yes,College Senior,1992
1,24,Latrell Sprewell,SG,United States,Golden State Warriors,Alabama,No,College Senior,1992
1,25,Elmore Spencer,C,United States,Los Angeles Clippers,UNLV,Yes,College Senior,1992
1,26,Dave Johnson,SF,United States,Portland Trail Blazers,Syracuse,No,College Senior,1992
1,27,Byron Houston,PF,United States,Chicago Bulls,Oklahoma State,No,College Senior,1992
2,28,Marlon Maxey,PF,United States,Minnesota Timberwolves,UTEP,No,Playing Internationally,1992
2,29,P. J. Brown,PF,United States,New Jersey Nets,Louisiana Tech,No,Playing Internationally,1992
2,30,Sean Rooks,PF/C,United States,Dallas Mavericks,Arizona,No,Playing Internationally,1992
2,31,Reggie Smith,C,United States,Portland Trail Blazers,TCU,No,Playing Internationally,1992
2,32,Brent Price,G,United States,Washington Bullets,Oklahoma,No,Playing Internationally,1992
2,33,Corey Williams,G,United States,Chicago Bulls,Oklahoma State,No,Playing Internationally,1992
2,34,Chris Smith,G,United States,Minnesota Timberwolves,Connecticut,No,Playing Internationally,1992
2,35,Tony Bennett,G,United States,Charlotte Hornets,Wisconsin–Green Bay,No,Playing Internationally,1992
2,36,Duane Cooper,G,United States,Los Angeles Lakers,USC,No,Playing Internationally,1992
2,37,Isaiah Morris,F,United States,Miami Heat,Arkansas,No,Playing Internationally,1992
2,38,Elmer Bennett,G,United States,Atlanta Hawks,Notre Dame,No,Playing Internationally,1992
2,39,Litterial Green,G,United States,Chicago Bulls,Georgia,No,Playing Internationally,1992
2,40,Steve Rogers,SG/SF,United States,New Jersey Nets,Alabama State,No,Playing Internationally,1992
2,41,Popeye Jones,F,United States,Houston Rockets,Murray State,No,Playing Internationally,1992
2,42,Matt Geiger,C,United States,Miami Heat,Georgia Tech,No,Playing Internationally,1992
2,43,Predrag Danilović,SG,FR Yugoslavia,Golden State Warriors,"KK Partizan, Yugoslavia",No,Playing Internationally,1992
2,44,Henry Williams,G,United States,San Antonio Spurs,UNC-Charlotte,No,Playing Internationally,1992
2,45,Chris King,F,United States,Seattle SuperSonics,Wake Forest,No,Playing Internationally,1992
2,46,Robert Werdann,C,United States,Denver Nuggets,St. John's,No,Playing Internationally,1992
2,47,Darren Morningstar,C,United States,Boston Celtics,Pittsburgh,No,Playing Internationally,1992
2,48,Brian Davis,F/G,United States,Phoenix Suns,Duke,No,Playing Internationally,1992
2,49,Ron Ellis,PF,Belgium,Phoenix Suns,Louisiana Tech,No,Playing Internationally,1992
2,50,Matt Fish,F,United States,Golden State Warriors,UNC-Wilmington,No,Playing Internationally,1992
2,51,Tim Burroughs,PF,United States,Minnesota Timberwolves,Jacksonville,No,Playing Internationally,1992
2,52,Matt Steigenga,F,United States,Chicago Bulls,Michigan State,No,Playing Internationally,1992
2,53,Curtis Blair,PG,United States,Houston Rockets,Richmond,No,Playing Internationally,1992
2,54,Brett Roberts,SF,United States,Sacramento Kings,Morehead State,No,Playing Internationally,1992
1,1,Chris Webber^,PF/C,United States,Orlando Magic,Michigan,Yes,College Sophmore,1993
1,2,Shawn Bradley,C,Germany,Philadelphia 76ers,BYU,No,College Freshman,1993
1,3,Penny Hardaway,PG/SG,United States,Golden State Warriors,Memphis State,Yes,College Junior,1993
1,4,Jamal Mashburn,SF,United States,Dallas Mavericks,Kentucky,No,College Junior,1993
1,5,Isaiah Rider,SG,United States,Minnesota Timberwolves,UNLV,No,College Senior,1993
1,6,Calbert Cheaney,SG/SF,United States,Washington Bullets,Indiana,No,College Senior,1993
1,7,Bobby Hurley,PG,United States,Sacramento Kings,Duke,No,College Senior,1993
1,8,Vin Baker,PF,United States,Milwaukee Bucks,Hartford,No,College Senior,1993
1,9,Rodney Rogers,PF,United States,Denver Nuggets,Wake Forest,No,College Junior,1993
1,10,Lindsey Hunter,PG,United States,Detroit Pistons,Jackson State,Yes,College Senior,1993
1,11,Allan Houston,SG,United States,Detroit Pistons,Tennessee,No,College Senior,1993
1,12,George Lynch,SF,United States,Los Angeles Lakers,North Carolina,No,College Senior,1993
1,13,Terry Dehere,SG,United States,Los Angeles Clippers,Seton Hall,No,College Senior,1993
1,14,Scott Haskin,PF,United States,Indiana Pacers,Oregon State,No,College Senior,1993
